code,pref,name,mui,junmui,muiPop
11239,埼玉県,坂戸市,,,
11240,埼玉県,幸手市,,,
11241,埼玉県,鶴ヶ島市,,,
11242,埼玉県,日高市,,,
11243,埼玉県,吉川市,,,
11245,埼玉県,ふじみ野市,,,
11246,埼玉県,白岡市,,,
11301,埼玉県,伊奈町（北足立郡）,,,
11324,埼玉県,三芳町（入間郡）,,,
11326,埼玉県,毛呂山町（入間郡）,,,
11327,埼玉県,越生町（入間郡）,,,
11341,埼玉県,滑川町（比企郡）,,,
11342,埼玉県,嵐山町（比企郡）,,,
11343,埼玉県,小川町（比企郡）,,,
11346,埼玉県,川島町（比企郡）,,,
11347,埼玉県,吉見町（比企郡）,,,
11348,埼玉県,鳩山町（比企郡）,,,
11349,埼玉県,ときがわ町（比企郡）,,,
11361,埼玉県,横瀬町（秩父郡）,,,
11362,埼玉県,皆野町（秩父郡）,,,
11363,埼玉県,長瀞町（秩父郡）,,,
11365,埼玉県,小鹿野町（秩父郡）,,,
11369,埼玉県,東秩父村（秩父郡）,,,
11381,埼玉県,美里町（児玉郡）,,,
11383,埼玉県,神川町（児玉郡）,,,
11385,埼玉県,上里町（児玉郡）,,,
11408,埼玉県,寄居町（大里郡）,,,
11442,埼玉県,宮代町（南埼玉郡）,,,
11464,埼玉県,杉戸町（北葛飾郡）,,,
11465,埼玉県,松伏町（北葛飾郡）,,,
12100,千葉県,千葉市,,,
12202,千葉県,銚子市,,,
12203,千葉県,市川市,,,
12204,千葉県,船橋市,,,
12205,千葉県,館山市,,,
12206,千葉県,木更津市,,,
12207,千葉県,松戸市,,,
12208,千葉県,野田市,,,
12210,千葉県,茂原市,,,
12211,千葉県,成田市,,,
12212,千葉県,佐倉市,,,
12213,千葉県,東金市,,,
12215,千葉県,旭市,,,
12216,千葉県,習志野市,,,
12217,千葉県,柏市,,,
12218,千葉県,勝浦市,,,
12219,千葉県,市原市,,,
12220,千葉県,流山市,,,
12221,千葉県,八千代市,,,
12222,千葉県,我孫子市,,,
12223,千葉県,鴨川市,,,
12224,千葉県,鎌ケ谷市,,,
12225,千葉県,君津市,,,
12226,千葉県,富津市,,,
12227,千葉県,浦安市,,,
12228,千葉県,四街道市,,,
12229,千葉県,袖ケ浦市,,,
12230,千葉県,八街市,,,
12231,千葉県,印西市,,,
12232,千葉県,白井市,,,
12233,千葉県,富里市,,,
12234,千葉県,南房総市,,,
12235,千葉県,匝瑳市,,,
12236,千葉県,香取市,,,
12237,千葉県,山武市,,,
12238,千葉県,いすみ市,,,
12239,千葉県,大網白里市,,,
12322,千葉県,酒々井町（印旛郡）,,,
12329,千葉県,栄町（印旛郡）,,,
12342,千葉県,神崎町（香取郡）,,,
12347,千葉県,多古町（香取郡）,,,
12349,千葉県,東庄町（香取郡）,,,
12403,千葉県,九十九里町（山武郡）,,,
12409,千葉県,芝山町（山武郡）,,,
12410,千葉県,横芝光町（山武郡）,,,
12421,千葉県,一宮町（長生郡）,,,
12422,千葉県,睦沢町（長生郡）,,,
12423,千葉県,長生村（長生郡）,,,
12424,千葉県,白子町（長生郡）,,,
12426,千葉県,長柄町（長生郡）,,,
12427,千葉県,長南町（長生郡）,,,
12441,千葉県,大多喜町（夷隅郡）,,,
12443,千葉県,御宿町（夷隅郡）,,,
12463,千葉県,鋸南町（安房郡）,,,
13101,東京都,千代田区,,,
13102,東京都,中央区,,,
13103,東京都,港区,,,
13104,東京都,新宿区,,,
13105,東京都,文京区,,,
13106,東京都,台東区,,,
13107,東京都,墨田区,,,
13108,東京都,江東区,,,
13109,東京都,品川区,,,
13110,東京都,目黒区,,,
13111,東京都,大田区,,,
13112,東京都,世田谷区,,,
13113,東京都,渋谷区,,,
13114,東京都,中野区,,,
13115,東京都,杉並区,,,
13116,東京都,豊島区,,,
13117,東京都,北区,,,
13118,東京都,荒川区,,,
13119,東京都,板橋区,,,
13120,東京都,練馬区,,,
13121,東京都,足立区,,,
13122,東京都,葛飾区,,,
13123,東京都,江戸川区,,,
13201,東京都,八王子市,,,
13202,東京都,立川市,,,
13203,東京都,武蔵野市,,,
13204,東京都,三鷹市,,,
13205,東京都,青梅市,,,
13206,東京都,府中市,,,
13207,東京都,昭島市,,,
13208,東京都,調布市,,,
13209,東京都,町田市,,,
13210,東京都,小金井市,,,
13211,東京都,小平市,,,
13212,東京都,日野市,,,
13213,東京都,東村山市,,,
13214,東京都,国分寺市,,,
13215,東京都,国立市,,,
13218,東京都,福生市,,,
13219,東京都,狛江市,,,
13220,東京都,東大和市,,,
13221,東京都,清瀬市,,,
13222,東京都,東久留米市,,,
13223,東京都,武蔵村山市,,,
13224,東京都,多摩市,,,
13225,東京都,稲城市,,,
13227,東京都,羽村市,,,
13228,東京都,あきる野市,,,
13229,東京都,西東京市,,,
13303,東京都,瑞穂町（西多摩郡）,,,
13305,東京都,日の出町（西多摩郡）,,,
13307,東京都,檜原村（西多摩郡）,,,
13308,東京都,奥多摩町（西多摩郡）,,,
13361,東京都,大島町（大島支庁）,,,
13362,東京都,利島村（大島支庁）,,,
13363,東京都,新島村（大島支庁）,,,
13364,東京都,神津島村（大島支庁）,,,
13381,東京都,三宅村（三宅支庁）,,,
13382,東京都,御蔵島村（三宅支庁）,,,
